epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,5095.67,1.43387,1.4034,1.87103,0.79805,0.32812,0.34095,0.1127,2.18673,1.9477,3.18622,0.00161822,0.00161822,0.00161822
57,5196.35,1.45349,1.44604,1.92687,0.79135,0.3125,0.28425,0.11242,2.19981,2.16081,3.20347,0.00161645,0.00161645,0.00161645
58,5289.3,1.52374,1.49566,1.93653,0.87001,0.34375,0.36508,0.19731,1.575,1.82724,2.52501,0.00161464,0.00161464,0.00161464
59,5384.11,1.50657,1.44497,1.95083,0.90087,0.37924,0.3816,0.18306,1.80221,1.68211,2.91501,0.00161281,0.00161281,0.00161281
60,5479.05,1.39843,1.41415,1.8604,0.90929,0.40625,0.41937,0.19343,1.82153,1.69464,2.96872,0.00161095,0.00161095,0.00161095
61,5568.1,1.41247,1.40436,1.88875,0.92139,0.41885,0.45228,0.25216,1.68342,1.6747,2.64608,0.00160905,0.00160905,0.00160905
62,5662.06,1.41029,1.2713,1.80296,0.95647,0.40625,0.52261,0.29455,1.57823,1.38442,2.35742,0.00160713,0.00160713,0.00160713
63,5759.43,1.50074,1.47979,1.91304,0.94049,0.4627,0.50677,0.26448,1.64437,1.16831,2.49529,0.00160518,0.00160518,0.00160518
64,5857.26,1.43411,1.41287,1.85694,0.97723,0.32755,0.43521,0.21601,1.8579,1.49225,2.86381,0.00160319,0.00160319,0.00160319
65,5952.26,1.41497,1.39234,1.85516,0.97862,0.34998,0.41684,0.20496,1.86748,1.58042,2.83283,0.00160118,0.00160118,0.00160118
66,6046.27,1.52324,1.4642,1.96971,0.96355,0.39759,0.44708,0.22207,1.82523,1.27499,2.74829,0.00159913,0.00159913,0.00159913
67,6146.98,1.44925,1.36033,1.93984,0.90172,0.375,0.41637,0.16036,2.06453,1.45001,2.98927,0.00159706,0.00159706,0.00159706
68,6251.31,1.55165,1.44959,1.94842,0.93693,0.34375,0.39452,0.15086,2.01672,1.80364,2.85038,0.00159496,0.00159496,0.00159496
69,6351.39,1.41255,1.42188,1.85594,0.86173,0.368,0.40986,0.21802,1.55666,1.41643,2.30854,0.00159282,0.00159282,0.00159282
70,6449.14,1.53624,1.42036,1.93008,0.92438,0.35087,0.43597,0.22538,1.80777,1.25402,2.55321,0.00159066,0.00159066,0.00159066
71,6549.21,1.43896,1.32905,1.90008,0.94611,0.375,0.41517,0.202,1.82467,1.32702,2.65565,0.00158847,0.00158847,0.00158847
72,6651.34,1.39397,1.38433,1.8344,0.96724,0.35938,0.39566,0.18513,1.88909,1.371,2.67006,0.00158624,0.00158624,0.00158624
73,6754.2,1.47179,1.36669,1.87285,0.95455,0.32812,0.39267,0.18891,1.80665,1.38492,2.75248,0.00158399,0.00158399,0.00158399
74,6852.51,1.39307,1.37219,1.85912,0.98743,0.3125,0.6334,0.26855,2.03805,1.47944,3.04528,0.00158171,0.00158171,0.00158171
75,6955.44,1.39772,1.36788,1.86533,0.99527,0.34375,0.90821,0.34065,1.9509,1.42883,2.9129,0.0015794,0.0015794,0.0015794
76,7058.27,1.36837,1.28929,1.79283,0.97775,0.33574,0.57246,0.2876,1.63903,1.47512,2.52601,0.00157706,0.00157706,0.00157706
77,7158.09,1.38981,1.27062,1.82433,0.84752,0.39062,0.5126,0.27531,1.46231,1.7213,2.39008,0.00157469,0.00157469,0.00157469
78,7260.38,1.33993,1.25692,1.77515,0.94503,0.37964,0.56443,0.27742,1.60792,1.36384,2.5832,0.0015723,0.0015723,0.0015723
79,7363.69,1.4584,1.27356,1.91209,0.96173,0.37711,0.47942,0.25494,1.72721,1.07851,2.63183,0.00156987,0.00156987,0.00156987
80,7463.65,1.41292,1.29701,1.86826,0.94485,0.375,0.45638,0.26009,1.61624,1.07835,2.47415,0.00156742,0.00156742,0.00156742
81,7566.87,1.36668,1.30194,1.80355,0.92359,0.375,0.66968,0.3265,1.66052,1.21465,2.56816,0.00156493,0.00156493,0.00156493
82,7671.13,1.36599,1.30183,1.79114,0.86365,0.39062,0.66013,0.33775,1.73694,1.15792,2.69505,0.00156242,0.00156242,0.00156242
83,7767.62,1.33544,1.27628,1.78612,0.97586,0.35938,0.92041,0.4904,1.68049,1.06805,2.55626,0.00155988,0.00155988,0.00155988
84,7870.83,1.39919,1.37042,1.81295,0.97689,0.375,0.67385,0.36007,1.71913,1.12576,2.61247,0.00155731,0.00155731,0.00155731
