epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,3058.36,1.35858,1.18955,1.77026,0.96348,0.26562,0.34936,0.16066,1.98125,1.94872,2.98947,0.00158171,0.00158171,0.00158171
75,3102.67,1.32951,1.09536,1.75822,0.96886,0.34375,0.38061,0.21503,1.79019,1.53038,2.68019,0.0015794,0.0015794,0.0015794
76,3150.68,1.2999,1.15812,1.71529,0.67813,0.32812,0.22422,0.09714,1.98285,2.7574,2.86132,0.00157706,0.00157706,0.00157706
77,3198.49,1.32557,1.1788,1.76487,0.87897,0.25,0.33326,0.19296,1.67573,1.71432,2.55523,0.00157469,0.00157469,0.00157469
78,3248.3,1.30767,1.12061,1.71895,0.78034,0.31916,0.33293,0.17684,1.71072,1.76148,2.46697,0.0015723,0.0015723,0.0015723
79,3294.56,1.27857,1.11975,1.71643,0.8435,0.30875,0.85707,0.37728,1.6823,1.71829,2.49516,0.00156987,0.00156987,0.00156987
80,3331.91,1.27528,1.02645,1.73635,0.96201,0.35938,0.5269,0.25983,1.65318,1.31484,2.51377,0.00156742,0.00156742,0.00156742
81,3368.26,1.21381,1.06708,1.64698,0.88223,0.375,0.90951,0.474,1.63447,1.29612,2.46012,0.00156493,0.00156493,0.00156493
82,3403.35,1.27044,1.08339,1.66526,0.81172,0.34375,0.37127,0.20155,1.6218,1.78135,2.38192,0.00156242,0.00156242,0.00156242
83,3439.77,1.30737,1.12537,1.7099,0.87174,0.35938,0.46418,0.23866,1.65321,1.80145,2.44566,0.00155988,0.00155988,0.00155988
84,3476.32,1.26807,1.05796,1.69146,0.94568,0.3847,0.55194,0.29407,1.61437,1.23696,2.49408,0.00155731,0.00155731,0.00155731
85,3512.28,1.2663,1.05379,1.6525,0.45236,0.95312,0.93323,0.4558,1.58384,1.20781,2.4998,0.00155471,0.00155471,0.00155471
86,3549.43,1.2709,1.03994,1.72546,0.96255,0.375,0.44922,0.24756,1.72834,1.4223,2.62909,0.00155209,0.00155209,0.00155209
87,3585.89,1.3641,1.08513,1.74729,0.77051,0.28125,0.26523,0.09966,2.09143,2.17746,2.6312,0.00154944,0.00154944,0.00154944
88,3622.76,1.27821,1.06035,1.68089,0.57487,0.1875,0.06042,0.02695,2.82898,2.34467,3.10214,0.00154675,0.00154675,0.00154675
89,3662.27,1.35349,1.16721,1.75093,0.60585,0.1875,0.09548,0.03573,2.83961,2.08927,3.16119,0.00154405,0.00154405,0.00154405
90,3699.69,1.27926,1.08027,1.66417,0.80986,0.23438,0.23566,0.10593,2.13721,1.7499,2.67,0.00154131,0.00154131,0.00154131
91,3735.36,1.20553,1.0423,1.63976,0.95843,0.375,0.45864,0.26385,1.62744,1.00934,2.43762,0.00153854,0.00153854,0.00153854
92,3771.53,1.26908,1.07166,1.66869,0.9104,0.39062,0.43437,0.25878,1.59109,1.07894,2.41652,0.00153575,0.00153575,0.00153575
93,3808.42,1.2469,1.01448,1.67644,0.93125,0.42188,0.45289,0.24594,1.64707,1.07692,2.53133,0.00153293,0.00153293,0.00153293
94,3843.7,1.22419,0.9692,1.67488,0.9798,0.375,0.49103,0.25601,1.78648,1.1816,2.68171,0.00153009,0.00153009,0.00153009
95,3882.73,1.28631,1.02806,1.71419,0.96249,0.40625,0.53584,0.27361,1.59615,1.11883,2.45912,0.00152721,0.00152721,0.00152721
96,3919.65,1.32061,1.08182,1.72988,0.48127,0.92188,0.56657,0.29836,1.46672,0.96197,2.26334,0.00152431,0.00152431,0.00152431
97,3956.92,1.23845,1.02436,1.67607,0.65655,0.85283,0.68037,0.30788,1.35133,1.11554,2.12654,0.00152139,0.00152139,0.00152139
98,3994.41,1.23684,0.95047,1.64475,0.89657,0.32812,0.4159,0.22877,1.54742,1.16524,2.33054,0.00151843,0.00151843,0.00151843
99,4030.02,1.25918,1.00231,1.66876,0.86056,0.35938,0.34746,0.18661,1.64338,1.32197,2.41363,0.00151545,0.00151545,0.00151545
100,4067.4,1.26427,1.03613,1.72016,0.85812,0.28125,0.32742,0.17168,1.63468,1.51917,2.41725,0.00151244,0.00151244,0.00151244
101,4103.41,1.25276,1.01677,1.70967,0.90442,0.35938,0.41707,0.22352,1.58559,1.1895,2.34792,0.00150941,0.00150941,0.00150941
102,4139.81,1.26802,1.12127,1.69272,0.95021,0.375,0.41006,0.24712,1.60435,1.19245,2.36133,0.00150635,0.00150635,0.00150635
103,4177.94,1.21766,0.9917,1.62677,0.93508,0.39062,0.44428,0.25392,1.66522,1.24039,2.48686,0.00150326,0.00150326,0.00150326
104,4217.52,1.19345,0.99762,1.62316,0.96427,0.4061,0.45224,0.25567,1.64281,1.15563,2.54859,0.00150015,0.00150015,0.00150015
105,4255.33,1.23319,0.97615,1.67211,0.98941,0.39062,0.6932,0.35664,1.82055,1.13279,2.74107,0.00149701,0.00149701,0.00149701
106,4292.96,1.16693,0.93659,1.59678,0.44987,0.92188,0.68431,0.28978,1.99759,1.28638,3.11772,0.00149384,0.00149384,0.00149384
107,4328.9,1.2708,0.98828,1.68234,0.53127,0.92188,0.68438,0.27563,1.95159,1.09663,2.96589,0.00149065,0.00149065,0.00149065
108,4364.27,1.23052,0.94586,1.6396,0.97489,0.40625,0.48523,0.22821,1.93716,1.06353,2.91903,0.00148744,0.00148744,0.00148744
109,4399.54,1.27683,1.06919,1.73638,0.947,0.39549,0.48961,0.21862,1.96624,1.14998,2.98211,0.00148419,0.00148419,0.00148419
110,4434.22,1.19473,0.95502,1.62958,0.94702,0.39062,0.60018,0.22963,1.98909,1.29567,2.94054,0.00148093,0.00148093,0.00148093
111,4470.62,1.2545,0.99836,1.64735,0.94786,0.40269,0.6908,0.27221,1.89154,1.3657,2.73273,0.00147764,0.00147764,0.00147764
112,4507.91,1.27919,1.05028,1.67482,0.92298,0.42188,0.93882,0.42677,1.91294,1.29667,2.75605,0.00147432,0.00147432,0.00147432
113,4544.25,1.22664,0.99532,1.64949,0.93039,0.4375,0.44998,0.2185,1.85014,1.21592,2.8015,0.00147098,0.00147098,0.00147098
114,4581.09,1.18588,0.93421,1.64003,0.96538,0.42015,0.44746,0.23211,1.71931,1.20369,2.61548,0.00146761,0.00146761,0.00146761
115,4616.59,1.22141,0.97696,1.65672,0.94185,0.42188,0.43304,0.22633,1.74811,1.36581,2.70657,0.00146422,0.00146422,0.00146422
116,4649.91,1.23828,1.03923,1.68288,0.9882,0.39062,0.42098,0.20746,1.95947,1.04528,2.92551,0.0014608,0.0014608,0.0014608
117,4686.21,1.24057,1.01261,1.66615,0.9741,0.42188,0.45965,0.23886,1.78108,0.9501,2.77674,0.00145736,0.00145736,0.00145736
118,4722.82,1.20559,0.93646,1.60801,0.38543,0.9375,0.93187,0.50217,1.622,1.01888,2.47644,0.00145389,0.00145389,0.00145389
119,4759.43,1.24862,0.99868,1.72309,0.34312,0.9375,0.92733,0.49417,1.60762,0.99396,2.43989,0.00145041,0.00145041,0.00145041
120,4796.64,1.22521,1.02244,1.66148,0.98249,0.43072,0.57122,0.27266,1.76688,1.01117,2.59807,0.00144689,0.00144689,0.00144689
121,4834.49,1.20111,0.93479,1.69207,0.95223,0.4375,0.46792,0.24306,1.78834,1.18156,2.66886,0.00144335,0.00144335,0.00144335
122,4871.03,1.22904,0.97432,1.66406,0.99742,0.39062,0.51902,0.28514,1.64621,1.17742,2.48068,0.00143979,0.00143979,0.00143979
123,4909.48,1.16415,0.93845,1.58791,0.76255,0.9375,0.91986,0.50974,1.52345,1.18742,2.35128,0.00143621,0.00143621,0.00143621
124,4945.91,1.19998,0.93007,1.61194,0.79499,0.85938,0.88986,0.47719,1.70649,1.22836,2.59043,0.0014326,0.0014326,0.0014326
125,4982.46,1.24363,0.91026,1.63263,0.89912,0.375,0.3938,0.22406,1.71289,1.40165,2.63732,0.00142897,0.00142897,0.00142897
126,5019.29,1.21643,0.94726,1.60632,0.8725,0.3653,0.37809,0.22847,1.52771,1.57801,2.38657,0.00142531,0.00142531,0.00142531
