epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,150.383,1.28714,1.22606,1.71931,0.93825,0.34375,0.37408,0.20702,1.80352,1.49262,2.71557,0.00160518,0.00160518,0.00160518
64,152.534,1.2779,1.20621,1.70748,0.89552,0.35503,0.38646,0.21728,1.68279,1.57919,2.50456,0.00160319,0.00160319,0.00160319
65,154.809,1.32864,1.19999,1.76659,0.91282,0.29598,0.37193,0.20909,1.7211,1.50754,2.49179,0.00160118,0.00160118,0.00160118
66,156.922,1.34055,1.19953,1.77471,0.73995,0.28125,0.28193,0.11897,2.17571,1.84065,2.89902,0.00159913,0.00159913,0.00159913
67,159.168,1.29823,1.2733,1.76198,0.81111,0.25749,0.27756,0.10863,2.2677,1.74917,2.92152,0.00159706,0.00159706,0.00159706
68,161.319,1.3109,1.15543,1.72623,0.87531,0.26562,0.29661,0.11278,2.42647,1.76682,3.01119,0.00159496,0.00159496,0.00159496
69,163.482,1.29575,1.17841,1.72298,0.82868,0.26562,0.26346,0.09924,2.45194,1.72104,3.09934,0.00159282,0.00159282,0.00159282
70,165.614,1.32824,1.23913,1.75074,0.82356,0.29688,0.26868,0.11858,2.07137,1.69622,2.77123,0.00159066,0.00159066,0.00159066
71,167.727,1.23019,1.10569,1.68909,0.8308,0.36668,0.31612,0.12416,1.85952,2.00936,2.53402,0.00158847,0.00158847,0.00158847
72,169.875,1.33432,1.17002,1.78783,0.89636,0.40625,0.41475,0.19573,1.81668,1.44443,2.60251,0.00158624,0.00158624,0.00158624
73,171.928,1.28875,1.22244,1.68094,0.91439,0.37825,0.42618,0.2158,1.65467,1.51927,2.51381,0.00158399,0.00158399,0.00158399
74,174.056,1.25449,1.14826,1.69635,0.83416,0.32812,0.37254,0.20551,1.62768,1.79076,2.49882,0.00158171,0.00158171,0.00158171
75,176.299,1.207,1.06864,1.68107,0.90355,0.375,0.38813,0.23194,1.59099,1.72064,2.49488,0.0015794,0.0015794,0.0015794
76,178.497,1.25711,1.10333,1.71399,0.97875,0.35215,0.43971,0.25803,1.51113,1.23915,2.38771,0.00157706,0.00157706,0.00157706
77,180.787,1.21747,1.12266,1.68518,0.98627,0.40625,0.47158,0.27781,1.52455,1.15982,2.35365,0.00157469,0.00157469,0.00157469
78,183.072,1.17489,1.02591,1.61894,0.94413,0.40625,0.44717,0.2511,1.61056,1.09172,2.48008,0.0015723,0.0015723,0.0015723
